;Gene;Gene human;effect;change type;expression evaluation by;sample;model organism;line;sex;change percentage;p_value;age of control - min;age of experiment - min;age of control - mean;age of experiment - mean;age of control - max;age of experiment - max;age unit;doi;pmid;;;;;
#ÑÑÛËÊÀ!;Nrip1;NRIP1;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6J;female;-40,00;;n/a;n/a;6;18;n/a;n/a;months;10.1093/gerona/glx257;n/a;;;;;
#ÑÑÛËÊÀ!;Nrip1;NRIP1;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6J;male;-85,00;;n/a;n/a;6;18;n/a;n/a;months;10.1093/gerona/glx257;n/a;;;;;
#ÑÑÛËÊÀ!;Nrip1;NRIP1;increase;increased gene expression;mRNA;liver;mouse;C57BL/6J;female;94,00;;n/a;n/a;6;18;n/a;n/a;months;10.1093/gerona/glx257;n/a;;;;;
#ÑÑÛËÊÀ!;Nrip1;NRIP1;increase;increased gene expression;mRNA;liver;mouse;C57BL/6J;male;47,00;;n/a;n/a;6;18;n/a;n/a;months;10.1093/gerona/glx257;n/a;;;;;
#ÑÑÛËÊÀ!;Nrip1;NRIP1;increase;increased gene expression;mRNA;liver;mouse;C57BL/6J;male;67,00;;n/a;n/a;6;18;n/a;n/a;months;10.1093/gerona/glx257;n/a;;;;;
#ÑÑÛËÊÀ!;Opn3;OPN3;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;n/a;n/a;;n/a;n/a;2;20;n/a;n/a;months;10.1111/acel.13021;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;-43,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;-30,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;-80,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;-48,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;-84,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;-58,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;218,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;86,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;213,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;75,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;107,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;83,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;100,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;173,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;333,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;500,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;52,00;< 0.05;n/a;n/a;6;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;34,00;< 0.05;n/a;n/a;6;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfb;PDGFB;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;both;-66,00;;n/a;n/a;0.5;3;n/a;n/a;months;10.1038/nature10502;66;;;;;
#ÑÑÛËÊÀ!;Pdgfb;PDGFB;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;both;-73,00;;n/a;n/a;0.5;6;n/a;n/a;months;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfb;PDGFB;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;both;-78,00;;n/a;n/a;0.5;10;n/a;n/a;months;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfb;PDGFB;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;both;-81,00;;n/a;n/a;0.5;13;n/a;n/a;months;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfb;PDGFB;decrease;decreased gene expression;mRNA;liver;mouse;wild type;both;-38,00;;n/a;n/a;1;9;n/a;n/a;months;10.1159/000113755;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfb;PDGFB;decrease;decreased gene expression;mRNA;liver;mouse;wild type;both;-35,00;;n/a;n/a;1;3;n/a;n/a;months;10.1159/000113755;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfra;PDGFRA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;both;-79,00;;n/a;n/a;2;20;n/a;n/a;weeks;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfra;PDGFRA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;both;-37,00;;n/a;n/a;3;8;n/a;n/a;weeks;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfra;PDGFRA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;both;-53,00;;n/a;n/a;0.5;3;n/a;n/a;months;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfra;PDGFRA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;both;-84,00;;n/a;n/a;0.5;6;n/a;n/a;months;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfra;PDGFRA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;both;-84,00;;n/a;n/a;0.5;10;n/a;n/a;months;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfra;PDGFRA;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-96,00;;n/a;n/a;0.5;13;n/a;n/a;months;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfra;PDGFRA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6;female;32,00;;n/a;n/a;2;18;n/a;n/a;months;10.1016/j.jvs.2004.08.034;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfrb;PDGFRB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-71,00;;n/a;n/a;2;20;n/a;n/a;weeks;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfrb;PDGFRB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-59,00;;n/a;n/a;0.5;2;n/a;n/a;months;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfrb;PDGFRB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-76,00;;n/a;n/a;0.5;6;n/a;n/a;months;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfrb;PDGFRB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-66,00;;n/a;n/a;0.5;10;n/a;n/a;months;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfrb;PDGFRB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-78,00;;n/a;n/a;0.5;13;n/a;n/a;months;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pdgfrb;PDGFRB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-70,00;;n/a;n/a;3;8;n/a;n/a;weeks;10.1038/nature10502;n/a;;;;;
#ÑÑÛËÊÀ!;Pex5;PEX5;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;male;-43,00;;n/a;n/a;3;30;n/a;n/a;months;10.1016/j.mcn.2020.103536;n/a;;;;;
#ÑÑÛËÊÀ!;Pex5;PEX5;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;male;-29,00;;n/a;n/a;3;32;n/a;n/a;months;10.1016/j.mcn.2020.103536;n/a;;;;;
#ÑÑÛËÊÀ!;Pex5;PEX5;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;female;-21,00;;n/a;n/a;3;32;n/a;n/a;months;10.1016/j.mcn.2020.103536;n/a;;;;;
#ÑÑÛËÊÀ!;Pex5;PEX5;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;female;-28,00;;n/a;n/a;3;32;n/a;n/a;months;10.1016/j.mcn.2020.103536;n/a;;;;;
#ÑÑÛËÊÀ!;Pex5;PEX5;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;male;-85,00;;n/a;n/a;3;32;n/a;n/a;months;10.1016/j.mcn.2020.103536;n/a;;;;;
#ÑÑÛËÊÀ!;Pml;PML;increase;increased gene expression;mRNA;lung;mouse;C57BL/6;n/a;n/a;;n/a;n/a;2;24;n/a;n/a;months;10.1073/pnas.0503280102;n/a;;;;;
#ÑÑÛËÊÀ!;Polb;POLB;decrease;decreased gene expression;mRNA;lung;mouse;wild type;male;-44,00;;n/a;n/a;4;24;n/a;n/a;months;10.1093/gerona/61.5.427;n/a;;;;;
#ÑÑÛËÊÀ!;Polb;POLB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;male;-34,00;;n/a;n/a;5;24;n/a;n/a;months;n/a;11890943;;;;;
#ÑÑÛËÊÀ!;Polb;POLB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;male;-48,00;;n/a;n/a;5;24;n/a;n/a;months;n/a;11890943;;;;;
#ÑÑÛËÊÀ!;Polb;POLB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;male;-37,50;;n/a;n/a;5;24;n/a;n/a;months;n/a;11890943;;;;;
#ÑÑÛËÊÀ!;Polb;POLB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;male;-61,00;;n/a;n/a;5;24;n/a;n/a;months;n/a;11890943;;;;;
#ÑÑÛËÊÀ!;Polb;POLB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;male;-50,00;;n/a;n/a;5;24;n/a;n/a;months;n/a;11890943;;;;;
#ÑÑÛËÊÀ!;Polb;POLB;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;male;-27,00;;n/a;n/a;5;24;n/a;n/a;months;n/a;11890943;;;;;
#ÑÑÛËÊÀ!;Porcn;PORCN;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6J;male;-50,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Porcn;PORCN;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6J;male;-60,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Ppara;PPARA;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6J;n/a;n/a;;n/a;n/a;18;26;n/a;n/a;months;10.1089/jir.2017.0049;n/a;;;;;
#ÑÑÛËÊÀ!;Ppara;PPARA;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-44,00;;n/a;n/a;3;20;n/a;n/a;months;10.1111%2Facel.13238;n/a;;;;;
#ÑÑÛËÊÀ!;Ppargc1a;PPARGC1A;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-70,00;;n/a;n/a;4;24;n/a;n/a;months;10.1079/pns2002173;n/a;;;;;
#ÑÑÛËÊÀ!;Ppargc1a;PPARGC1A;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-64,00;;n/a;n/a;4;24;n/a;n/a;months;10.1079/pns2002173;n/a;;;;;
#ÑÑÛËÊÀ!;Ppargc1a;PPARGC1A;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-39,00;;n/a;n/a;4;24;n/a;n/a;months;10.1079/pns2002173;n/a;;;;;
#ÑÑÛËÊÀ!;Ppargc1a;PPARGC1A;decrease;decreased gene expression;mRNA;lung;mouse;C57BL/6;both;-60,00;;n/a;n/a;4;24;n/a;n/a;months;10.1079/pns2002173;n/a;;;;;
#ÑÑÛËÊÀ!;Ppm1d;PPM1D;decrease;decreased gene expression;mRNA;megakaryocyte progenitors;mouse;C57BL/6;both;-50,00;;n/a;n/a;2;24;n/a;n/a;months;10.1016/j.devcel.2009.05.009;n/a;;;;;
#ÑÑÛËÊÀ!;Rad51;RAD51;decrease;decreased gene expression;mRNA;microglia;mouse;FVB;female;-90,00;;n/a;n/a;1;12;n/a;n/a;months;10.1126/scitranslmed.3004925;n/a;;;;;
#ÑÑÛËÊÀ!;Ralb;RALB;increase;increased gene expression;mRNA;microglia;mouse;C57BL/6J;n/a;n/a;;n/a;n/a;2;30;n/a;n/a;months;10.18632/aging.102345;n/a;;;;;
#ÑÑÛËÊÀ!;Rela;RELA;increase;increased gene expression;mRNA;microglia;mouse;C57BL/6;male;12,00;;n/a;n/a;3;27;n/a;n/a;months;10.18632/aging.101655;n/a;;;;;
#ÑÑÛËÊÀ!;Ret;RET;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6;n/a;n/a;;n/a;n/a;4;20;n/a;n/a;months;10.3389/fnagi.2017.00393;n/a;;;;;
#ÑÑÛËÊÀ!;Ret;RET;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6;male;35,00;;n/a;n/a;1.5;24;n/a;n/a;months;10.1016/j.neurobiolaging.2005.04.009;n/a;;;;;
#ÑÑÛËÊÀ!;Sfrp1;SFRP1;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6J;male;55,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Sfrp1;SFRP1;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6J;male;140,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Sfrp2;SFRP2;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6J;male;-55,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Sfrp2;SFRP2;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6J;male;49,00;;n/a;n/a;24;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt2;SIRT2;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6J;both;-33,00;;n/a;n/a;3;20;n/a;n/a;months;10.1152/ajpheart.00735.2012;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt2;SIRT2;increase;increased gene expression;mRNA;muscle;mouse;CBA/J;both;64,00;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt2;SIRT2;increase;increased gene expression;mRNA;muscle;mouse;n/a;both;42,00;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt3;SIRT3;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6J;both;-70,00;;n/a;n/a;3;21;n/a;n/a;months;10.1016/j.celrep.2013.01.005;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt3;SIRT3;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6J;both;-44,00;;n/a;n/a;3;20;n/a;n/a;months;10.1152/ajpheart.00735.2012;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt3;SIRT3;decrease;decreased gene expression;mRNA;muscle;mouse;CBA/J;both;-36,80;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt4;SIRT4;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6J;both;-25,70;;n/a;n/a;3;20;n/a;n/a;months;10.1152/ajpheart.00735.2012;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt4;SIRT4;increase;increased gene expression;mRNA;muscle;mouse;CBA/J;both;32,70;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt4;SIRT4;increase;increased gene expression;mRNA;muscle;mouse;CBA/J;both;50,40;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt4;SIRT4;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6N;male;68,00;;n/a;n/a;12;36;n/a;n/a;weeks;10.3389/fgene.2015.00281;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt4;SIRT4;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6N;male;54,00;;n/a;n/a;12;52;n/a;n/a;weeks;10.3389/fgene.2015.00281;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt5;SIRT5;decrease;decreased gene expression;mRNA;muscle;mouse;CBA/J;both;-23,80;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt5;SIRT5;increase;increased gene expression;mRNA;muscle;mouse;CBA/J;both;30,40;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt6;SIRT6;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6J;both;-50,00;;n/a;n/a;3;20;n/a;n/a;months;10.1152/ajpheart.00735.2012;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt6;SIRT6;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6J;both;20,00;;n/a;n/a;3;20;n/a;n/a;months;10.1152/ajpheart.00735.2012;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt6;SIRT6;increase;increased gene expression;mRNA;muscle;mouse;CBA/J;both;28,80;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt6;SIRT6;increase;increased gene expression;mRNA;muscle;mouse;CBA/J;both;58,80;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt7;SIRT7;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6J;both;-20,00;;n/a;n/a;3;20;n/a;n/a;months;10.1152/ajpheart.00735.2012;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt7;SIRT7;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6J;both;21,60;;n/a;n/a;3;20;n/a;n/a;months;10.1152/ajpheart.00735.2012;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt7;SIRT7;increase;increased gene expression;mRNA;muscle;mouse;CBA/J;both;186,00;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt7;SIRT7;increase;increased gene expression;mRNA;muscle;mouse;CBA/J;both;42,80;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt7;SIRT7;increase;increased gene expression;mRNA;muscle;mouse;CBA/J;both;186,00;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Sirt7;SIRT7;increase;increased gene expression;mRNA;muscle;mouse;CBA/J;both;42,80;;n/a;n/a;2;22;n/a;n/a;months;10.3109/00016489.2015.1093172;n/a;;;;;
#ÑÑÛËÊÀ!;Slc19a1;SLC19A1;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6;male;-55,00;;n/a;n/a;3;28;n/a;n/a;months;10.1007/s11357-020-00177-1;n/a;;;;;
#ÑÑÛËÊÀ!;Slc19a1;SLC19A1;decrease;decreased gene expression;mRNA;muscle;mouse;wild type;both;-92,50;;n/a;n/a;6;18;n/a;n/a;months;10.7554/eLife.62585;n/a;;;;;
#ÑÑÛËÊÀ!;Snai1;SNAI1;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6J;n/a;n/a;;n/a;n/a;6;12;n/a;n/a;months;10.18632/aging.101439;n/a;;;;;
#ÑÑÛËÊÀ!;Snai2;SNAI2;decrease;decreased gene expression;mRNA;muscle;mouse;mixed;both;-60,00;;n/a;n/a;3;24;n/a;n/a;months;10.1038/s41467-019-10479-4;n/a;;;;;
#ÑÑÛËÊÀ!;Sncg;SNCG;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6J;male;88,00;;n/a;n/a;2;4;n/a;n/a;months;10.1186/s12974-020-01774-9;n/a;;;;;
#ÑÑÛËÊÀ!;Sncg;SNCG;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6J;male;278,00;;n/a;n/a;2;6;n/a;n/a;months;10.1186/s12974-020-01774-9;n/a;;;;;
#ÑÑÛËÊÀ!;Sncg;SNCG;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6;both;100,00;;n/a;n/a;4;52;n/a;n/a;weeks;10.7717/peerj.9737;n/a;;;;;
#ÑÑÛËÊÀ!;Sp1;SP1;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6;both;400,00;;n/a;n/a;5;630;n/a;n/a;days;10.3233/JAD-2009-1138;n/a;;;;;
#ÑÑÛËÊÀ!;Spp1;SPP1;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6;both;-68,00;;n/a;n/a;2;22;n/a;n/a;months;10.1038/s41598-018-21324-x;n/a;;;;;
#ÑÑÛËÊÀ!;Sstr1;SSTR1;increase;increased gene expression;mRNA;muscle;mouse;wild type;female;154,00;;n/a;n/a;n/a;18;n/a;n/a;months;10.1210/en.2003-0646;n/a;;;;;
#ÑÑÛËÊÀ!;Sstr3;SSTR3;increase;increased gene expression;mRNA;muscle;mouse;wild type;female;70,00;;n/a;n/a;n/a;18;n/a;n/a;months;10.1210/en.2003-0646;n/a;;;;;
#ÑÑÛËÊÀ!;Sub1;SUB1;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6;both;380,00;;n/a;n/a;2;24;n/a;n/a;months;10.1111/acel.13370;n/a;;;;;
#ÑÑÛËÊÀ!;Sub1;SUB1;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6;both;80,00;;n/a;n/a;2;24;n/a;n/a;months;10.1111/acel.13370;n/a;;;;;
#ÑÑÛËÊÀ!;Sub1;SUB1;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6;both;190,00;;n/a;n/a;2;24;n/a;n/a;months;10.1111/acel.13370;n/a;;;;;
#ÑÑÛËÊÀ!;Sub1;SUB1;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6;both;180,00;;n/a;n/a;2;12;n/a;n/a;months;10.1111/acel.13370;n/a;;;;;
#ÑÑÛËÊÀ!;Sub1;SUB1;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6;both;50,00;;n/a;n/a;2;12;n/a;n/a;months;10.1111/acel.13370;n/a;;;;;
#ÑÑÛËÊÀ!;Sub1;SUB1;increase;increased gene expression;mRNA;muscle;mouse;C57BL/6;both;110,00;;n/a;n/a;2;12;n/a;n/a;months;10.1111/acel.13370;n/a;;;;;
#ÑÑÛËÊÀ!;Tcf3;TCF3;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6J;male;-70,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Tcf3;TCF3;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6J;male;-35,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Tcf3;TCF3;decrease;decreased gene expression;mRNA;muscle;mouse;C57BL/6J;male;-60,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
