;Gene;Gene human;effect;change type;expression evaluation by;sample;model organism;line;sex;change percentage;p_value;age of control - min;age of experiment - min;age of control - mean;age of experiment - mean;age of control - max;age of experiment - max;age unit;doi;pmid;;;;;
#ÑÑÛËÊÀ!;Terc;TERC;decrease;decreased gene expression;mRNA;nerve;mouse;BALB/c;female;-69,00;;n/a;n/a;5.5;17;n/a;n/a;weeks;10.1007/s10815-020-01932-1;n/a;;;;;
#ÑÑÛËÊÀ!;Terc;TERC;decrease;decreased gene expression;mRNA;nociceptive neurons;mouse;BALB/c;female;-10,00;;n/a;n/a;17;60;n/a;n/a;weeks;10.1007/s10815-020-01932-1;n/a;;;;;
#ÑÑÛËÊÀ!;Terf1;TERF1;decrease;decreased gene expression;mRNA;oocytes;mouse;BALB/c;female;-10,00;;n/a;n/a;5.5;17;n/a;n/a;weeks;10.1007/s10815-020-01932-1;n/a;;;;;
#ÑÑÛËÊÀ!;Terf1;TERF1;decrease;decreased gene expression;mRNA;ovarian mural granulosa cells;mouse;C57BL/6;both;-60,00;;n/a;n/a;6;57;n/a;n/a;weeks;10.1111/acel.12677;n/a;;;;;
#ÑÑÛËÊÀ!;Terf1;TERF1;decrease;decreased gene expression;mRNA;ovary;mouse;C57BL/6;both;-50,00;;n/a;n/a;6;89;n/a;n/a;weeks;10.1111/acel.12677;n/a;;;;;
#ÑÑÛËÊÀ!;Terf1;TERF1;increase;increased gene expression;mRNA;osteocytes;mouse;BALB/c;female;12,00;;n/a;n/a;17;60;n/a;n/a;weeks;10.1007/s10815-020-01932-1;n/a;;;;;
#ÑÑÛËÊÀ!;Terf2;TERF2;decrease;decreased gene expression;mRNA;ovary;mouse;BALB/c;female;-27,00;<0.05;n/a;n/a;5.5;17;n/a;n/a;weeks;10.1007/s10815-020-01932-1;n/a;;;;;
#ÑÑÛËÊÀ!;Terf2;TERF2;increase;increased gene expression;mRNA;ovary;mouse;BALB/c;female;13,00;<0.05;n/a;n/a;17;60;n/a;n/a;weeks;10.1007/s10815-020-01932-1;n/a;;;;;
#ÑÑÛËÊÀ!;Timp1;TIMP1;increase;increased gene expression;mRNA;ovary;mouse;NIH;both;186,00;;n/a;n/a;3;12;n/a;n/a;months;10.1093/gerona/61.11.1130;n/a;;;;;
#ÑÑÛËÊÀ!;Timp1;TIMP1;increase;increased gene expression;mRNA;ovary;mouse;NIH;both;500,00;;n/a;n/a;3;24;n/a;n/a;months;10.1093/gerona/61.11.1130;n/a;;;;;
#ÑÑÛËÊÀ!;Timp2;TIMP2;increase;increased gene expression;mRNA;ovary;mouse;NIH;both;76,00;;n/a;n/a;3;12;n/a;n/a;months;10.1093/gerona/61.11.1130;n/a;;;;;
#ÑÑÛËÊÀ!;Timp2;TIMP2;increase;increased gene expression;mRNA;ovary;mouse;NIH;both;151,00;;n/a;n/a;3;24;n/a;n/a;months;10.1093/gerona/61.11.1130;n/a;;;;;
#ÑÑÛËÊÀ!;Tle1;TLE1;decrease;decreased gene expression;mRNA;ovary;mouse;C57BL/6J;male;-50,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Tmprss2;TMPRSS2;increase;increased gene expression;mRNA;ovary;mouse;C57BL/6;male;200,00;;n/a;n/a;4;24;n/a;n/a;months;10.1371/journal.pone.0012501;n/a;;;;;
#ÑÑÛËÊÀ!;Tp53;TP53;increase;increased gene expression;mRNA;ovary;mouse;C57BL/6;male;40,00;;n/a;n/a;5;25;n/a;n/a;months;10.1186/1471-2164-8-80;n/a;;;;;
#ÑÑÛËÊÀ!;Tp53;TP53;increase;increased gene expression;mRNA;ovary;mouse;C57BL/6;male;30,00;;n/a;n/a;5;25;n/a;n/a;months;10.1186/1471-2164-8-80;n/a;;;;;
#ÑÑÛËÊÀ!;Trpv1;TRPV1;increase;increased gene expression;mRNA;ovary;mouse;C57BL/6J;male;170,00;;n/a;n/a;1;18;n/a;n/a;months;10.1111/acel.12795;n/a;;;;;
#ÑÑÛËÊÀ!;Ucp1;UCP1;decrease;decreased gene expression;mRNA;ovary;mouse;C57BL/6J;male;-99,60;;n/a;n/a;3;12;n/a;n/a;months;10.1111/acel.12010;n/a;;;;;
#ÑÑÛËÊÀ!;Ucp1;UCP1;decrease;decreased gene expression;mRNA;pancreas;mouse;C57BL/6J;male;-40,00;;n/a;n/a;4;22;n/a;n/a;months;10.1111/j.1474-9726.2011.00740.x;n/a;;;;;
#ÑÑÛËÊÀ!;Ucp1;UCP1;decrease;decreased gene expression;mRNA;pancreas;mouse;C57BL/6;both;-38,00;;n/a;n/a;10;30;n/a;n/a;weeks;10.14814/phy2.13445;n/a;;;;;
#ÑÑÛËÊÀ!;Ucp1;UCP1;decrease;decreased gene expression;mRNA;pancreas;mouse;C57BL/6;both;-49,00;;n/a;n/a;15;30;n/a;n/a;weeks;10.14814/phy2.13445;n/a;;;;;
#ÑÑÛËÊÀ!;Ucp1;UCP1;increase;increased gene expression;mRNA;pancreas;mouse;C57BL/6;both;20,00;;n/a;n/a;10;15;n/a;n/a;weeks;10.14814/phy2.13445;n/a;;;;;
#ÑÑÛËÊÀ!;Ucp2;UCP2;decrease;decreased gene expression;mRNA;pancreas;mouse;C57BL/6;both;-71,00;<0.05;n/a;n/a;2;60;n/a;n/a;days;10.1002/sctm.20-0123;n/a;;;;;
#ÑÑÛËÊÀ!;Ucp2;UCP2;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6;both;-94,00;n/a;n/a;n/a;2;24;n/a;n/a;months;10.1002/sctm.20-0123;n/a;;;;;
#ÑÑÛËÊÀ!;Ucp3;UCP3;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6;both;-67,00;;n/a;n/a;15;30;n/a;n/a;weeks;10.14814/phy2.13445;n/a;;;;;
#ÑÑÛËÊÀ!;Ucp3;UCP3;increase;increased gene expression;mRNA;pancreatic islets;mouse;C57BL/6;both;100,00;;n/a;n/a;10;15;n/a;n/a;weeks;10.14814/phy2.13445;n/a;;;;;
#ÑÑÛËÊÀ!;Uros;UROS;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;n/a;n/a;n/a;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;10.18632/aging.202648;n/a;;;;;
#ÑÑÛËÊÀ!;Vegfa;VEGFA;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6J;n/a;n/a;;n/a;n/a;3;24;n/a;n/a;months;10.1016/j.exger.2004.06.003;n/a;;;;;
#ÑÑÛËÊÀ!;Vegfa;VEGFA;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;ICR;male;-53,00;;n/a;n/a;11;65;n/a;n/a;weeks;10.1016/j.exger.2005.01.009;n/a;;;;;
#ÑÑÛËÊÀ!;Vegfa;VEGFA;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;CD1;female;-25,00;;n/a;n/a;2.5;22;n/a;n/a;months;10.1016/j.exger.2005.10.003;n/a;;;;;
#ÑÑÛËÊÀ!;Wif1;WIF1;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6J;male;-50,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wif1;WIF1;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6J;male;-60,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt1;WNT1;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6J;male;-50,00;ns;n/a;n/a;1.5;6;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt1;WNT1;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6J;male;-75,00;<0.005;n/a;n/a;1.5;18;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt1;WNT1;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6J;male;-50,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt10a;WNT10A;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6J;male;-60,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt10a;WNT10A;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6J;male;-24,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt10a;WNT10A;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6J;male;-80,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt10a;WNT10A;increase;increased gene expression;mRNA;pancreatic islets;mouse;C57BL/6J;male;1 100,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt10b;WNT10B;decrease;decreased gene expression;mRNA;pancreatic islets;mouse;C57BL/6J;male;-95,00;<0.005;n/a;n/a;1.5;6;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt10b;WNT10B;decrease;decreased gene expression;mRNA;pancreatic ?-cells;mouse;C57BL/6J;male;-75,00;<0.05;n/a;n/a;1.5;18;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt10b;WNT10B;decrease;decreased gene expression;mRNA;pancreatic ?-cells;mouse;DBA/2JNIA;female;-64,00;;n/a;n/a;8;23;n/a;n/a;months;10.1091/mbc.E04-08-0720;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt11;WNT11;decrease;decreased gene expression;mRNA;pituitary;mouse;C57BL/6J;male;-40,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt11;WNT11;decrease;decreased gene expression;mRNA;pituitary;mouse;C57BL/6J;male;-70,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt11;WNT11;increase;increased gene expression;mRNA;plasma;mouse;C57BL/6J;male;14,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt11;WNT11;increase;increased gene expression;mRNA;plasma;mouse;C57BL/6J;male;36,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt11;WNT11;increase;increased gene expression;mRNA;plasma;mouse;C57BL/6J;male;50,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt11;WNT11;increase;increased gene expression;mRNA;prefrontal;mouse;C57BL/6J;male;230,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt16;WNT16;decrease;decreased gene expression;mRNA;preoptic area;mouse;C57BL/6J;male;-20,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt16;WNT16;decrease;decreased gene expression;mRNA;preoptic area;mouse;C57BL/6;male;-55,00;;n/a;n/a;0.5;20;n/a;n/a;months;10.1371/journal.pone.0140260;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt16;WNT16;decrease;decreased gene expression;mRNA;prostate;mouse;C57BL/6;male;-70,00;;n/a;n/a;0.5;20;n/a;n/a;months;10.1371/journal.pone.0140260;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt16;WNT16;decrease;decreased gene expression;mRNA;quadriceps muscle;mouse;C57BL/6;female;-45,00;;n/a;n/a;0.5;19;n/a;n/a;months;10.1371/journal.pone.0140260;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt16;WNT16;decrease;decreased gene expression;mRNA;quadriceps muscle;mouse;C57BL/6;male;-25,00;;n/a;n/a;0.5;22;n/a;n/a;months;10.1371/journal.pone.0140260;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt16;WNT16;increase;increased gene expression;mRNA;quadriceps muscle;mouse;C57BL/6;male;300,00;;n/a;n/a;0.5;22;n/a;n/a;months;10.1371/journal.pone.0140260;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt16;WNT16;increase;increased gene expression;mRNA;quadriceps muscle;mouse;C57BL/6;female;20,00;;n/a;n/a;0.5;19;n/a;n/a;months;10.1371/journal.pone.0140260;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2;WNT2;decrease;decreased gene expression;mRNA;retina;mouse;C57BL/6J;male;-48,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2;WNT2;decrease;decreased gene expression;mRNA;retina;mouse;C57BL/6J;male;-58,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2;WNT2;decrease;decreased gene expression;mRNA;retina;mouse;C57BL/6J;male;-70,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2;WNT2;decrease;decreased gene expression;mRNA;satellite cells;mouse;C57BL/6J;male;-74,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2;WNT2;decrease;decreased gene expression;mRNA;skin;mouse;C57BL/6J;male;-12,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2;WNT2;increase;increased gene expression;mRNA;retina;mouse;C57BL/6J;male;10,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2b;WNT2B;decrease;decreased gene expression;mRNA;skin;mouse;C57BL/6J;male;-15,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2b;WNT2B;decrease;decreased gene expression;mRNA;skin;mouse;C57BL/6J;male;-50,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2b;WNT2B;decrease;decreased gene expression;mRNA;skin;mouse;C57BL/6J;male;-35,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2b;WNT2B;decrease;decreased gene expression;mRNA;skin;mouse;C57BL/6J;male;-20,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2b;WNT2B;increase;increased gene expression;mRNA;skin;mouse;C57BL/6J;male;15,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt2b;WNT2B;increase;increased gene expression;mRNA;skin;mouse;C57BL/6J;male;40,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt3;WNT3;decrease;decreased gene expression;mRNA;spermatogonial stem cells;mouse;C57BL/6;both;-65,00;;n/a;n/a;0.3;9;n/a;n/a;months;10.1096/fj.11-184697;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt3;WNT3;increase;increased gene expression;mRNA;skin;mouse;C57BL/6J;male;11,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt3a;WNT3A;decrease;decreased gene expression;mRNA;spleen;mouse;C57BL/6J;male;-83,00;<0.05;n/a;n/a;1.5;6;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt3a;WNT3A;decrease;decreased gene expression;mRNA;spleen;mouse;C57BL/6J;male;-75,00;ns;n/a;n/a;1.5;18;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt3a;WNT3A;decrease;decreased gene expression;mRNA;spleen;mouse;C57BL/6J;male;-34,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt3a;WNT3A;decrease;decreased gene expression;mRNA;spleen;mouse;C57BL/6J;male;-35,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt3a;WNT3A;decrease;decreased gene expression;mRNA;spleen;mouse;C57BL/6;both;-85,00;;n/a;n/a;0.3;9;n/a;n/a;months;10.1096/fj.11-184697;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt4;WNT4;decrease;decreased gene expression;mRNA;subcutaneous white adipose tissue;mouse;C57BL/6J;male;-50,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt4;WNT4;decrease;decreased gene expression;mRNA;testis;mouse;C57BL/6J;both;-90,00;;n/a;n/a;1;12;n/a;n/a;months;10.3892/mmr.2015.4343;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5a;WNT5A;decrease;decreased gene expression;mRNA;thymus;mouse;C57BL/6J;male;-60,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5a;WNT5A;decrease;decreased gene expression;mRNA;thymus;mouse;C57BL/6J;male;-70,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5a;WNT5A;decrease;decreased gene expression;mRNA;thymus;mouse;C57BL/6J;male;-20,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5a;WNT5A;increase;increased gene expression;mRNA;testis;mouse;C57BL/6J;male;28,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5a;WNT5A;increase;increased gene expression;mRNA;testis;mouse;C57BL/6J;male;20,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5b;WNT5B;decrease;decreased gene expression;mRNA;thymus;mouse;C57BL/6J;male;-75,00;<0.05;n/a;n/a;1.5;6;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5b;WNT5B;decrease;decreased gene expression;mRNA;thymus;mouse;C57BL/6J;male;-64,00;<0.05;n/a;n/a;1.5;18;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5b;WNT5B;decrease;decreased gene expression;mRNA;thymus;mouse;C57BL/6J;male;-11,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5b;WNT5B;decrease;decreased gene expression;mRNA;tibia;mouse;C57BL/6J;male;-50,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5b;WNT5B;decrease;decreased gene expression;mRNA;tibia;mouse;C57BL/6J;male;-30,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5b;WNT5B;decrease;decreased gene expression;mRNA;tibia;mouse;C57BL/6J;male;-17,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5b;WNT5B;decrease;decreased gene expression;mRNA;tibia;mouse;DBA/2JNIA;female;-64,00;;n/a;n/a;8;23;n/a;n/a;months;10.1091/mbc.E04-08-0720;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5b;WNT5B;increase;increased gene expression;mRNA;thymus;mouse;C57BL/6J;male;9,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt5b;WNT5B;increase;increased gene expression;mRNA;thymus;mouse;C57BL/6J;male;15,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt6;WNT6;increase;increased gene expression;mRNA;tibia;mouse;C57BL/6J;male;10,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt6;WNT6;increase;increased gene expression;mRNA;tibia;mouse;C57BL/6J;male;1 350,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt6;WNT6;increase;increased gene expression;mRNA;tibia;mouse;C57BL/6J;male;100,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt7a;WNT7A;decrease;decreased gene expression;mRNA;tibia;mouse;C57BL/6J;male;-5,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt7a;WNT7A;decrease;decreased gene expression;mRNA;tibia;mouse;C57BL/6J;male;-99,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt7a;WNT7A;decrease;decreased gene expression;mRNA;vaginal tissue;mouse;C57BL/6J;male;-17,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt7b;WNT7B;decrease;decreased gene expression;mRNA;vascular smooth muscle cells;mouse;C57BL/6;both;-96,00;<0.001;2;n/a;n/a;24;6;n/a;months;10.1002/stem.3192;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt7b;WNT7B;decrease;decreased gene expression;mRNA;vascular smooth muscle cells;mouse;C57BL/6J;male;-60,00;ns;n/a;n/a;1.5;6;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt7b;WNT7B;decrease;decreased gene expression;mRNA;ventricles;mouse;C57BL/6J;male;-80,00;<0.05;n/a;n/a;1.5;18;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt7b;WNT7B;decrease;decreased gene expression;mRNA;ventricular cardiomyocytes;mouse;C57BL/6J;male;-34,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt7b;WNT7B;decrease;decreased gene expression;mRNA;vestibular end organs;mouse;C57BL/6J;male;-90,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt7b;WNT7B;increase;increased gene expression;mRNA;vestibular end organs;mouse;C57BL/6J;male;50,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt7b;WNT7B;increase;increased gene expression;mRNA;vestibular end organs;mouse;C57BL/6;male;80,00;;n/a;n/a;5;60;n/a;n/a;months;10.1073/pnas.1904980116;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt9a;WNT9A;decrease;decreased gene expression;mRNA;vestibular end organs;mouse;C57BL/6J;male;-54,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt9a;WNT9A;decrease;decreased gene expression;mRNA;vestibular end organs;mouse;C57BL/6J;male;-20,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt9a;WNT9A;decrease;decreased gene expression;mRNA;white adipose tissue;mouse;C57BL/6J;male;-20,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt9a;WNT9A;increase;increased gene expression;mRNA;vestibular end organs;mouse;C57BL/6J;male;70,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt9b;WNT9B;decrease;decreased gene expression;mRNA;white visceral adipose;mouse;C57BL/6J;male;-50,00;ns;n/a;n/a;1.5;6;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Wnt9b;WNT9B;decrease;decreased gene expression;mRNA;white visceral adipose;mouse;C57BL/6J;male;-63,00;<0.01;n/a;n/a;1.5;18;n/a;n/a;months;10.1007/s11357-008-9069-9;n/a;;;;;
#ÑÑÛËÊÀ!;Zfyve9;ZFYVE9;decrease;decreased gene expression;mRNA;white visceral adipose;mouse;C57BL/6;both;-14,00;;n/a;n/a;3;30;n/a;n/a;months;10.1038/ncb1866;n/a;;;;;
#ÑÑÛËÊÀ!;Zfyve9;ZFYVE9;decrease;decreased gene expression;mRNA;whole organism;mouse;C57BL/6;both;-11,00;;n/a;n/a;3;30;n/a;n/a;months;10.1038/ncb1866;n/a;;;;;
#ÑÑÛËÊÀ!;Zfyve9;ZFYVE9;decrease;decreased gene expression;mRNA;ìèîáëàñòû;mouse;C57BL/6;both;-19,00;;n/a;n/a;3;30;n/a;n/a;months;10.1038/ncb1866;n/a;;;;;
#ÑÑÛËÊÀ!;Zfyve9;ZFYVE9;decrease;decreased gene expression;mRNA;ìèîáëàñòû;mouse;C57BL/6;both;-21,00;;n/a;n/a;3;30;n/a;n/a;months;10.1038/ncb1866;n/a;;;;;
